ingredient,tier,n_regulators_in_window,regulators,most_recent_approval,example_brands,applicants
isosorbide dinitrate,B: confirm date(s),1,FDA(2022-07-08); HSA(no-date),2022-07-08,APO-ISDN TABLET 5 mg; ISOSORBIDE DINITRATE,APOTEX INC; RUBICON RESEARCH
oxybutynin,B: confirm date(s),1,FDA(2022-07-14); HSA(no-date),2022-07-14,OBUTIN TABLETS 5 mg; OXYBUTYNIN CHLORIDE,HANLIM PHARMACEUTICAL CO LTD; REGCON HOLDINGS
ambrisentan,B: confirm date(s),1,FDA(2022-07-21); HSA(no-date),2022-07-21,AMBRISENTAN; VOLIBRIS FILM-COATED TABLET 5MG,"AUROBINDO PHARMA; Patheon, Inc."
testosterone undecanoate,B: confirm date(s),1,FDA(2022-07-27); HSA(no-date),2022-07-27,KYZATREX; NEBIDO Solution,"Bayer AG (Berlin, Müllerstraße); MARIUS"
empagliflozin,B: confirm date(s),1,FDA(2022-08-03); HSA(no-date),2022-08-03,EMPAGLIFLOZIN; JARDIANCE FILM-COATED TABLETS 10MG,Boehringer Ingelheim Pharma GmbH & Co. KG&&Rottendorf Pharma GmbH (Ostenfelder)&&Boehringer Ingelheim Seiyaku Co. Ltd.; ZYDUS PHARMS
acalabrutinib,B: confirm date(s),1,FDA(2022-08-03); HSA(no-date),2022-08-03,CALQUENCE; CALQUENCE HARD CAPSULES 100MG,ASTRAZENECA; AstraZeneca AB
ibrutinib,B: confirm date(s),1,FDA(2022-08-24); HSA(no-date),2022-08-24,IMBRUVICA; IMBRUVICA FILM-COATED TABLETS 560MG,Cilag AG (Bulk Production and Primary Packager)&&Janssen-Cilag SpA (Primary and Secondary Packager); PHARMACYCLICS LLC
clobazam,B: confirm date(s),1,FDA(2022-09-06); HSA(no-date),2022-09-06,CLOBAZAM; FRISIUM 10 TABLET 10 mg,ACCORD HLTHCARE; Opella Healthcare International SAS
deucravacitinib,B: confirm date(s),1,FDA(2022-09-09); HSA(no-date),2022-09-09,SOTYKTU; SOTYKTU FILM-COATED TABLETS 6 MG,BRISTOL; Hovione Farmaciencia S.A.&&Patheon Inc.
terlipressin,B: confirm date(s),1,FDA(2022-09-14); HSA(no-date),2022-09-14,TERLIPRESSIN-AFT SOLUTION FOR INJECTION 0.85MG/8.5ML; TERLIVAZ,"HAINAN POLY PHARM. CO., LTD.; MALLINCKRODT IRELAND"
