quarter,est_qoq_pct,actual_qoq_pct,error_pp,covered_weight_pct
2018Q1,0.525,0.497,0.028,48.2
2018Q2,0.53,0.396,0.134,48.3
2018Q3,0.736,0.887,-0.151,48.6
2018Q4,0.142,0.098,0.045,48.7
2019Q1,0.25,0.098,0.153,48.6
2019Q2,0.506,0.585,-0.079,48.6
2019Q3,0.605,0.678,-0.073,48.8
2019Q4,0.404,0.481,-0.077,48.8
2020Q1,0.767,0.766,0.0,48.9
2020Q2,-0.391,-0.475,0.084,48.5
2020Q3,0.783,0.669,0.114,40.7
2020Q4,0.054,0.474,-0.421,45.9
2021Q1,0.842,0.85,-0.007,45.7
2021Q2,0.656,1.311,-0.655,45.9
2021Q3,1.622,2.218,-0.596,45.9
2021Q4,0.506,1.447,-0.94,46.2
2022Q1,1.418,1.783,-0.365,45.8
2022Q2,0.889,1.664,-0.775,46.2
2022Q3,1.344,2.153,-0.81,46.3
2022Q4,0.704,1.433,-0.729,46.3
2023Q1,1.18,1.247,-0.067,46.2
2023Q2,0.693,1.067,-0.374,46.6
2023Q3,1.503,1.787,-0.284,46.5
2023Q4,0.584,0.479,0.106,46.7
2024Q1,0.527,0.635,-0.108,46.6
2024Q2,0.499,0.395,0.105,46.6
2024Q3,0.606,0.629,-0.023,46.5
2024Q4,0.547,0.547,0.0,46.3
2025Q1,0.929,0.932,-0.004,47.0
2025Q2,0.695,0.539,0.157,47.2
2025Q3,1.055,0.995,0.059,47.3
2025Q4,0.879,0.607,0.272,47.4
2026Q1,0.739,0.904,-0.166,47.4
