code,name,source,months,weight_pct,qoq_pct,contribution_pp
CPIQ.SE907202,Petrol,spi,2,3.560183016622332,22.509820400448135,0.8013908029689435
CPIQ.SE907203,Other vehicle fuels and lubricants,spi,2,0.49054327810082826,59.39202807401804,0.29134360144485233
CPIQ.SE904501,Electricity,spi,2,2.944111319413416,4.086093897348841,0.12029915295370806
CPIQ.SE904201,Purchase of new housing,seasonal,0,9.296213570507796,1.135604542418167,0.1055682235795806
CPIQ.SE901101,Fruit,spi,2,1.0508647211623214,-7.246885691590288,-0.07615496511588245
CPIQ.SE909601,Domestic accommodation services,spi,2,0.670664756646547,-11.119102864163931,-0.07457190416522427
CPIQ.SE909402,Cultural services,seasonal,0,1.5991368942943798,2.5693730729702047,0.04108779276193179
CPIQ.SE907303,Domestic air transport(2),spi,2,0.4927344445297425,-7.767767988150565,-0.038274468448772844
CPIQ.SE901502,Ready-to-eat food,spi,2,3.3847879198382285,0.9713649425358684,0.032878643232497624
CPIQ.SE908200,Telecommunication equipment,seasonal,0,0.463343405221704,-7.081545064377681,-0.032811872043597055
CPIQ.SE909101,Audio-visual equipment,seasonal,0,0.16173684618450482,-18.941504178272982,-0.030635391477844928
CPIQ.SE901301,Bread and cereals,spi,2,1.7249642905678912,1.5316453132147911,0.026420334711111878
CPIQ.SE904302,Property maintenance services,seasonal,0,1.493818478135612,1.7482517482517501,0.026115707659713525
CPIQ.SE907102,Purchase of second-hand motor cars,seasonal,0,1.7130172056289905,1.3937282229965264,0.023874804259637682
CPIQ.SE907101,Purchase of new motor cars,seasonal,0,1.811332852932035,1.2158054711246091,0.022022283926225152
CPIQ.SE909304,Pet-related products,seasonal,0,0.9392441718885685,2.2810218978102093,0.021424365234684405
CPIQ.SE901302,"Milk, cheese, and eggs",spi,2,1.6965964285710413,1.1781551758989206,0.019988538637325956
CPIQ.SE909102,Computing equipment,seasonal,0,0.24307484983847913,-7.931034482758625,-0.019278350159603528
CPIQ.SE909301,"Games, toys, and hobbies",seasonal,0,0.6580631396659189,-2.8136882129277563,-0.018515844994402276
CPIQ.SE907304,International air transport(2),spi,2,1.7694930572327938,-0.9716181677648095,-0.017192716021410783
CPIQ.SE907204,Vehicle servicing and repairs,seasonal,0,1.3332203367730033,1.1992619926199266,0.015988804776798017
CPIQ.SE901305,"Confectionery, nuts, and snacks",spi,2,1.5247088451795947,-0.9551358171737356,-0.01456304028792635
CPIQ.SE907201,Vehicle parts and accessories,seasonal,0,0.5430310683626347,2.6197604790419105,0.014226113317883362
CPIQ.SE901501,Restaurant meals,spi,2,1.5178810570912038,0.9163584153592197,0.013909230801798728
CPIQ.SE911101,Hairdressing and personal grooming services,seasonal,0,0.87853014926053,1.4890282131661436,0.013081561783659925
CPIQ.SE903103,Women's clothing,seasonal,0,1.8568857925351159,0.6776379477250627,0.012582962776133223
CPIQ.SE902101,Beer,spi,2,1.2125085912359392,1.0363339277828842,0.012565637908260326
CPIQ.SE907302,Road passenger transport,seasonal,0,0.44059378117019093,-2.7888446215139417,-0.012287475968889777
CPIQ.SE911402,Dwelling insurance,seasonal,0,0.9779219580810478,1.2298232129131392,0.012026711244655423
CPIQ.SE911103,"Other appliances, articles, and products for personal care",seasonal,0,1.180120512568809,0.9838998211091132,0.011611203612036462
CPIQ.SE905101,Furniture and furnishings,seasonal,0,0.6476876687540372,1.7841213202497874,0.011555533786869599
CPIQ.SE905601,Cleaning products and other household supplies,seasonal,0,0.6384550821906644,1.7823639774859235,0.011379593397394548
CPIQ.SE905200,Household textiles,seasonal,0,0.30717888973855106,3.6970243462578933,0.011356478340198923
CPIQ.SE909403,Veterinary services,seasonal,0,0.46008621115144815,2.4683122081387676,0.011356364117814304
CPIQ.SE909200,Major recreational and cultural equipment,seasonal,0,0.6075061659921991,1.7738359201773912,0.010776162589662115
CPIQ.SE901201,Meat and poultry,spi,2,2.4219129811917623,0.40722965415576073,0.00986274785726069
CPIQ.SE906202,Dental services,seasonal,0,0.7516894159919383,1.2615643397813292,0.009483045618064826
CPIQ.SE906201,Medical services,seasonal,0,1.2112646998774794,0.766283524904221,0.009281721838141683
CPIQ.SE901401,"Coffee, tea, and other hot drinks",spi,2,0.6293479605745128,-1.425106545497845,-0.00896887898010458
CPIQ.SE908300,Telecommunication services,seasonal,0,2.1450117948162757,0.4106776180698102,0.008809083346267964
CPIQ.SE903203,Women's footwear,seasonal,0,0.27140190885332643,3.2163742690058506,0.008729301161949104
CPIQ.SE909602,Overseas accommodation costs prepaid in New Zealand(2),spi,2,2.0235286523555427,0.3848720752571477,0.007787996717743772
CPIQ.SE903102,Men's clothing,seasonal,0,0.9659399056263183,0.7359705611775569,0.007109033344075978
CPIQ.SE909303,"Plants, flowers, and gardening supplies",seasonal,0,0.5072338832198904,1.3754045307443397,0.006976517811276826
CPIQ.SE903202,Men's footwear,seasonal,0,0.38218267620672974,1.7723880597015018,0.006773760119335731
CPIQ.SE911403,Contents insurance,seasonal,0,0.24936285333161418,2.7027027027026973,0.0067395365765301
CPIQ.SE909504,Stationery and drawing materials,seasonal,0,0.1480795269248697,4.418011894647411,0.006542171113078359
CPIQ.SE911404,Health insurance,seasonal,0,0.3270282324214538,1.9480519480519431,0.006370679852365967
CPIQ.SE907205,Other private transport services,seasonal,0,1.561634565596453,0.3676470588235281,0.005741303549986939
CPIQ.SE901102,Vegetables,spi,2,1.138524659018757,0.4800130158507665,0.005465066551960591
CPIQ.SE904101,Actual rentals for housing,spi,2,10.986849274253359,-0.047072282048343794,-0.005171760678602954
CPIQ.SE904502,Gas,spi,2,0.40041344377866883,1.1845328946500366,0.004743028956159363
CPIQ.SE903104,Children's and infants' clothing,seasonal,0,0.38379549505037863,1.2060301507537785,0.004628689387542292
CPIQ.SE911601,Vocational services,seasonal,0,0.200922380371483,2.0583190394511064,0.004135623609704608
CPIQ.SE904301,Property maintenance materials,seasonal,0,0.530489745669192,0.7590132827324458,0.004026487633162737
CPIQ.SE902103,Spirits and liqueurs,spi,2,1.093137339688577,-0.3674181853691949,-0.004016385377076862
CPIQ.SE909401,Recreational and sporting services,seasonal,0,0.8894095614759768,0.44682752457552155,0.003974126726881109
CPIQ.SE906300,Hospital services,seasonal,0,0.4002371193652086,0.887761572606216,0.003553151345030394
CPIQ.SE902102,Wine,spi,2,1.1115986664003599,-0.2883054910397531,-0.003204799993556904
CPIQ.SE911405,Vehicle insurance,seasonal,0,0.6207444177620023,0.4889975550122161,0.0030354250257310076
CPIQ.SE905501,Major tools and equipment for the house and garden,seasonal,0,0.1390137579240503,2.012072434607637,0.0027970575035020056
CPIQ.SE911604,Other miscellaneous services not elsewhere classified,seasonal,0,0.331560699182035,0.8007117437722311,0.002654845456083874
CPIQ.SE909502,Newspapers and magazines,seasonal,0,0.125244393913312,2.088948787061984,0.0026162912475152637
CPIQ.SE904503,Solid fuels,seasonal,0,0.1087684204638688,2.0903010033444858,0.0022735873842781983
CPIQ.SE907103,Purchase of motorcycles,seasonal,0,0.1868876701708156,1.1605415860735047,0.002168909131576203
CPIQ.SE901402,"Soft drinks, waters, and juices",spi,2,1.6248238588217372,0.1249272238012189,0.0020298473384858327
CPIQ.SE911602,Professional services,seasonal,0,0.12781660530392577,1.4324693042292003,0.0018309336366865287
CPIQ.SE911401,Life insurance,seasonal,0,0.9186288470633446,0.18993352326686086,0.0017447841349731532
CPIQ.SE903105,Clothing accessories,seasonal,0,0.15677410330031089,1.0090817356205761,0.0015819788425863721
CPIQ.SE901202,Fish and other seafood,spi,2,0.4667058448610062,0.30923534109288386,0.0014432194112563579
CPIQ.SE903107,Clothing services,seasonal,0,0.07889602252902674,1.7714791851195733,0.0013976266169889579
CPIQ.SE905602,Other household services,seasonal,0,0.14236630171512707,0.9530791788856297,0.0013568635793963712
CPIQ.SE907104,Purchase of bicycles,seasonal,0,0.07115280318196282,1.760563380281699,0.0012526901968655487
CPIQ.SE911301,Jewellery and watches,seasonal,0,0.3565342401253506,0.34334763948498104,0.0012241518974261056
CPIQ.SE905502,Small tools and accessories for the house and garden,seasonal,0,0.29166334647873476,-0.40281973816717054,-0.0011748775286152468
CPIQ.SE904402,Refuse disposal and recycling,seasonal,0,0.11845937885571704,0.9828009828009909,0.0011642199396139363
CPIQ.SE905302,Small electrical household appliances,seasonal,0,0.04720563394728609,2.2482893450635366,0.0010613192383065288
CPIQ.SE911603,Real estate services,seasonal,0,0.6047365623904581,0.14836795252226587,0.0008972352557722577
CPIQ.SE906103,Therapeutic appliances and equipment,seasonal,0,0.21242383210681345,0.38797284190106307,0.000824146778299947
CPIQ.SE906101,Pharmaceutical products,seasonal,0,0.7889159099350113,0.10204081632652073,0.0008050162346274846
CPIQ.SE906203,Paramedical services,seasonal,0,0.050662062853820605,1.580698835274541,0.0008008146374563982
CPIQ.SE909302,"Equipment for sport, camping, and outdoor recreation",seasonal,0,0.2845047957884271,0.27906976744185297,0.0007939668719676822
CPIQ.SE901303,Oils and fats,spi,2,0.3364846153825684,0.20449492060803376,0.000688093947084831
CPIQ.SE906102,Other medical products,seasonal,0,0.060425258005307535,1.0967098703888345,0.0006626897687521271
CPIQ.SE901304,Food additives and condiments,spi,2,0.46531668731720216,-0.1346675406083908,-0.000626630538850512
CPIQ.SE909501,Books,seasonal,0,0.14919841314235635,0.3820439350525229,0.0005700034886049787
CPIQ.SE907305,Sea passenger transport,seasonal,0,0.2880455192088964,0.19157088122605526,0.000551811339480649
CPIQ.SE905301,Major household appliances,seasonal,0,0.5468331428817653,0.0954198473282375,0.0005217873500779833
